##Databases: KEGG PATHWAY
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Linoleic acid metabolism	KEGG PATHWAY	osa00591	4	15	0.000264454433338	0.0019954289061	4350766|4352505|4328603|4333821	http://www.genome.jp/kegg-bin/show_pathway?osa00591/osa:4328603%09red/osa:4350766%09red/osa:4333821%09red/osa:4352505%09red
Pentose phosphate pathway	KEGG PATHWAY	osa00030	6	51	0.000415430488173	0.00279503085718	4334290|4347508|4345338|4350528|4342988|4327239	http://www.genome.jp/kegg-bin/show_pathway?osa00030/osa:4350528%09red/osa:4347508%09red/osa:4345338%09red/osa:4327239%09red/osa:4334290%09red/osa:4342988%09red
Glutathione metabolism	KEGG PATHWAY	osa00480	7	73	0.000437775917389	0.00279503085718	4349202|4332455|4325707|4324176|4350528|4342988|4341195	http://www.genome.jp/kegg-bin/show_pathway?osa00480/osa:4350528%09red/osa:4332455%09red/osa:4325707%09red/osa:4341195%09red/osa:4324176%09red/osa:4349202%09red/osa:4342988%09red
Valine, leucine and isoleucine degradation	KEGG PATHWAY	osa00280	5	40	0.00098542078854	0.00584213753206	4349966|4344267|4340725|4331150|4342508	http://www.genome.jp/kegg-bin/show_pathway?osa00280/osa:4344267%09red/osa:4342508%09red/osa:4340725%09red/osa:4349966%09red/osa:4331150%09red
Circadian rhythm - plant	KEGG PATHWAY	osa04712	4	24	0.00123727786168	0.00684627083461	4347674|4341923|4328662|4339663	http://www.genome.jp/kegg-bin/show_pathway?osa04712/osa:4339663%09red/osa:4328662%09red/osa:4341923%09red/osa:4347674%09red
Glycolysis / Gluconeogenesis	KEGG PATHWAY	osa00010	8	123	0.0018846382821	0.0097765610884	4349966|4334290|4345338|4337406|4340725|4344564|4339361|4346906	http://www.genome.jp/kegg-bin/show_pathway?osa00010/osa:4345338%09red/osa:4344564%09red/osa:4349966%09red/osa:4346906%09red/osa:4339361%09red/osa:4334290%09red/osa:4340725%09red/osa:4337406%09red
Selenocompound metabolism	KEGG PATHWAY	osa00450	3	16	0.00389909718229	0.0190367685959	4334073|4352832|4352833	http://www.genome.jp/kegg-bin/show_pathway?osa00450/osa:4334073%09red/osa:4352833%09red/osa:4352832%09red
Cyanoamino acid metabolism	KEGG PATHWAY	osa00460	4	36	0.00470203532608	0.0216816073369	4334116|4350456|4324773|4335048	http://www.genome.jp/kegg-bin/show_pathway?osa00460/osa:4324773%09red/osa:4334116%09red/osa:4350456%09red/osa:4335048%09red
Ascorbate and aldarate metabolism	KEGG PATHWAY	osa00053	4	37	0.00514126522554	0.0224592112484	4349966|4333156|4340725|4344670	http://www.genome.jp/kegg-bin/show_pathway?osa00053/osa:4344670%09red/osa:4333156%09red/osa:4340725%09red/osa:4349966%09red
Plant hormone signal transduction	KEGG PATHWAY	osa04075	9	184	0.00612502579426	0.0254188570462	4333824|4343899|4347439|4327465|4340320|4345625|4325747|4330838|4335937	http://www.genome.jp/kegg-bin/show_pathway?osa04075/osa:4330838%09red/osa:4347439%09red/osa:4335937%09red/osa:4333824%09red/osa:4343899%09red/osa:4345625%09red/osa:4340320%09red/osa:4327465%09red/osa:4325747%09red
Pentose and glucuronate interconversions	KEGG PATHWAY	osa00040	4	41	0.00717142341363	0.0283441973015	4349966|4333156|4340725|4347508	http://www.genome.jp/kegg-bin/show_pathway?osa00040/osa:4340725%09red/osa:4333156%09red/osa:4347508%09red/osa:4349966%09red
Fatty acid metabolism	KEGG PATHWAY	osa01212	5	68	0.00821717300042	0.0301673989218	4331150|4344267|4349396|4350881|4328997	http://www.genome.jp/kegg-bin/show_pathway?osa01212/osa:4344267%09red/osa:4328997%09red/osa:4350881%09red/osa:4331150%09red/osa:4349396%09red
Alanine, aspartate and glutamate metabolism	KEGG PATHWAY	osa00250	4	43	0.00835964066508	0.0301673989218	4330474|4328220|4345787|4325621	http://www.genome.jp/kegg-bin/show_pathway?osa00250/osa:4328220%09red/osa:4325621%09red/osa:4345787%09red/osa:4330474%09red
Limonene and pinene degradation	KEGG PATHWAY	osa00903	2	9	0.0144178076627	0.0498615848336	4349966|4340725	http://www.genome.jp/kegg-bin/show_pathway?osa00903/osa:4340725%09red/osa:4349966%09red
Nitrogen metabolism	KEGG PATHWAY	osa00910	3	28	0.0155559619624	0.0506884768424	4345795|4330867|4345798	http://www.genome.jp/kegg-bin/show_pathway?osa00910/osa:4345798%09red/osa:4330867%09red/osa:4345795%09red
Plant-pathogen interaction	KEGG PATHWAY	osa04626	6	112	0.015878318047	0.0506884768424	4347405|4347402|4326638|4338474|4336783|9267802	http://www.genome.jp/kegg-bin/show_pathway?osa04626/osa:4347402%09red/osa:9267802%09red/osa:4338474%09red/osa:4347405%09red/osa:4336783%09red/osa:4326638%09red
Spliceosome	KEGG PATHWAY	osa03040	8	185	0.0181928059625	0.0559260331439	4347019|4332413|4340353|4328860|4333273|4334598|4344256|4326580	http://www.genome.jp/kegg-bin/show_pathway?osa03040/osa:4328860%09red/osa:4347019%09red/osa:4333273%09red/osa:4344256%09red/osa:4334598%09red/osa:4326580%09red/osa:4340353%09red/osa:4332413%09red
Protein processing in endoplasmic reticulum	KEGG PATHWAY	osa04141	8	189	0.0202952027331	0.0601607795302	4335732|4347402|4332413|4328075|4347405|4334598|9267802|4334998	http://www.genome.jp/kegg-bin/show_pathway?osa04141/osa:4347402%09red/osa:9267802%09red/osa:4334998%09red/osa:4347405%09red/osa:4335732%09red/osa:4334598%09red/osa:4328075%09red/osa:4332413%09red
Starch and sucrose metabolism	KEGG PATHWAY	osa00500	7	159	0.0242053844486	0.0692774796286	4334290|4324621|4340386|4333156|4334116|4330221|4339361	http://www.genome.jp/kegg-bin/show_pathway?osa00500/osa:4330221%09red/osa:4324621%09red/osa:4339361%09red/osa:4334290%09red/osa:4334116%09red/osa:4333156%09red/osa:4340386%09red
One carbon pool by folate	KEGG PATHWAY	osa00670	2	14	0.0297420345996	0.0822862957256	4350456|4324773	http://www.genome.jp/kegg-bin/show_pathway?osa00670/osa:4324773%09red/osa:4350456%09red
Nicotinate and nicotinamide metabolism	KEGG PATHWAY	osa00760	2	15	0.0333334691108	0.0892476753613	4328220|4335862	http://www.genome.jp/kegg-bin/show_pathway?osa00760/osa:4328220%09red/osa:4335862%09red
Histidine metabolism	KEGG PATHWAY	osa00340	2	16	0.0370845019719	0.0950303340414	4349966|4340725	http://www.genome.jp/kegg-bin/show_pathway?osa00340/osa:4340725%09red/osa:4349966%09red
Photosynthesis	KEGG PATHWAY	osa00195	4	70	0.0377831448598	0.0950303340414	4342395|4352085|4338930|4334338	http://www.genome.jp/kegg-bin/show_pathway?osa00195/osa:4338930%09red/osa:4334338%09red/osa:4342395%09red/osa:4352085%09red
Phenylalanine, tyrosine and tryptophan biosynthesis	KEGG PATHWAY	osa00400	3	42	0.0412748004822	0.100759071765	4332341|4331468|4325621	http://www.genome.jp/kegg-bin/show_pathway?osa00400/osa:4332341%09red/osa:4331468%09red/osa:4325621%09red
Carbon fixation in photosynthetic organisms	KEGG PATHWAY	osa00710	4	73	0.0427324878477	0.10133704261	4344564|4325531|4347508|4325621	http://www.genome.jp/kegg-bin/show_pathway?osa00710/osa:4344564%09red/osa:4325621%09red/osa:4325531%09red/osa:4347508%09red
Amino sugar and nucleotide sugar metabolism	KEGG PATHWAY	osa00520	5	111	0.0488447715103	0.11137093311	4333156|4349683|4334290|4339361|4351401	http://www.genome.jp/kegg-bin/show_pathway?osa00520/osa:4351401%09red/osa:4333156%09red/osa:4339361%09red/osa:4334290%09red/osa:4349683%09red
RNA transport	KEGG PATHWAY	osa03013	6	149	0.0502928409974	0.11137093311	4328129|4341966|4333273|4339216|4326580|4326038	http://www.genome.jp/kegg-bin/show_pathway?osa03013/osa:4333273%09red/osa:4326580%09red/osa:4339216%09red/osa:4341966%09red/osa:4326038%09red/osa:4328129%09red
2-Oxocarboxylic acid metabolism	KEGG PATHWAY	osa01210	3	46	0.0510167058167	0.11137093311	4328812|4324176|4325621	http://www.genome.jp/kegg-bin/show_pathway?osa01210/osa:4328812%09red/osa:4325621%09red/osa:4324176%09red
Inositol phosphate metabolism	KEGG PATHWAY	osa00562	3	47	0.0536110431227	0.11137093311	4344440|4331917|4332146	http://www.genome.jp/kegg-bin/show_pathway?osa00562/osa:4332146%09red/osa:4331917%09red/osa:4344440%09red
Pyruvate metabolism	KEGG PATHWAY	osa00620	4	79	0.053672738848	0.11137093311	4349966|4340725|4337406|4325531	http://www.genome.jp/kegg-bin/show_pathway?osa00620/osa:4340725%09red/osa:4325531%09red/osa:4349966%09red/osa:4337406%09red
Peroxisome	KEGG PATHWAY	osa04146	4	80	0.0556303394004	0.112617516347	4331150|4324176|4328779|4350881	http://www.genome.jp/kegg-bin/show_pathway?osa04146/osa:4350881%09red/osa:4331150%09red/osa:4328779%09red/osa:4324176%09red
Propanoate metabolism	KEGG PATHWAY	osa00640	2	22	0.062592087069	0.123693886351	4344267|4342508	http://www.genome.jp/kegg-bin/show_pathway?osa00640/osa:4344267%09red/osa:4342508%09red
Tryptophan metabolism	KEGG PATHWAY	osa00380	2	23	0.0672886959312	0.129882831681	4349966|4340725	http://www.genome.jp/kegg-bin/show_pathway?osa00380/osa:4340725%09red/osa:4349966%09red
Galactose metabolism	KEGG PATHWAY	osa00052	3	53	0.070456612101	0.132906791009	4342703|4344351|4339361	http://www.genome.jp/kegg-bin/show_pathway?osa00052/osa:4342703%09red/osa:4344351%09red/osa:4339361%09red
Lysine degradation	KEGG PATHWAY	osa00310	2	25	0.0770142481423	0.142048502129	4349966|4340725	http://www.genome.jp/kegg-bin/show_pathway?osa00310/osa:4340725%09red/osa:4349966%09red
Glycine, serine and threonine metabolism	KEGG PATHWAY	osa00260	3	57	0.0828456919322	0.149482444139	4350456|4350964|4324773	http://www.genome.jp/kegg-bin/show_pathway?osa00260/osa:4324773%09red/osa:4350456%09red/osa:4350964%09red
Glyoxylate and dicarboxylate metabolism	KEGG PATHWAY	osa00630	3	63	0.103022476641	0.181933309813	4328812|4350456|4324773	http://www.genome.jp/kegg-bin/show_pathway?osa00630/osa:4324773%09red/osa:4328812%09red/osa:4350456%09red
Biosynthesis of unsaturated fatty acids	KEGG PATHWAY	osa01040	2	34	0.125304295922	0.216672011698	4331150|4350881	http://www.genome.jp/kegg-bin/show_pathway?osa01040/osa:4350881%09red/osa:4331150%09red
Basal transcription factors	KEGG PATHWAY	osa03022	2	39	0.154530307813	0.257205861139	4339276|4345330	http://www.genome.jp/kegg-bin/show_pathway?osa03022/osa:4339276%09red/osa:4345330%09red
Phagosome	KEGG PATHWAY	osa04145	3	77	0.156417091951	0.257205861139	4340590|4344440|4335732	http://www.genome.jp/kegg-bin/show_pathway?osa04145/osa:4340590%09red/osa:4335732%09red/osa:4344440%09red
Riboflavin metabolism	KEGG PATHWAY	osa00740	1	9	0.158042155639	0.257205861139	4339017	http://www.genome.jp/kegg-bin/show_pathway?osa00740/osa:4339017%09red
Phosphatidylinositol signaling system	KEGG PATHWAY	osa04070	2	43	0.178743812257	0.281479365897	4344440|4332146	http://www.genome.jp/kegg-bin/show_pathway?osa04070/osa:4332146%09red/osa:4344440%09red
Endocytosis	KEGG PATHWAY	osa04144	4	127	0.185715140365	0.281479365897	4341894|4332413|4334598|4347541	http://www.genome.jp/kegg-bin/show_pathway?osa04144/osa:4334598%09red/osa:4347541%09red/osa:4332413%09red/osa:4341894%09red
Monobactam biosynthesis	KEGG PATHWAY	osa00261	1	11	0.186522471377	0.281479365897	4334073	http://www.genome.jp/kegg-bin/show_pathway?osa00261/osa:4334073%09red
AGE-RAGE signaling pathway in diabetic complications	KEGG PATHWAY	osa04933	1	11	0.186522471377	0.281479365897	4340590	http://www.genome.jp/kegg-bin/show_pathway?osa04933/osa:4340590%09red
Purine metabolism	KEGG PATHWAY	osa00230	4	130	0.196059224557	0.287233656645	4331502|4337406|4345281|4334073	http://www.genome.jp/kegg-bin/show_pathway?osa00230/osa:4331502%09red/osa:4334073%09red/osa:4345281%09red/osa:4337406%09red
Glycerolipid metabolism	KEGG PATHWAY	osa00561	2	46	0.197256848539	0.287233656645	4349966|4340725	http://www.genome.jp/kegg-bin/show_pathway?osa00561/osa:4340725%09red/osa:4349966%09red
Citrate cycle (TCA cycle)	KEGG PATHWAY	osa00020	2	51	0.228562265626	0.327080483569	4328812|4324176	http://www.genome.jp/kegg-bin/show_pathway?osa00020/osa:4328812%09red/osa:4324176%09red
RNA degradation	KEGG PATHWAY	osa03018	3	97	0.243364573908	0.342360332786	4339910|4349924|4346906	http://www.genome.jp/kegg-bin/show_pathway?osa03018/osa:4339910%09red/osa:4349924%09red/osa:4346906%09red
Taurine and hypotaurine metabolism	KEGG PATHWAY	osa00430	1	16	0.253586602731	0.345044066011	4345787	http://www.genome.jp/kegg-bin/show_pathway?osa00430/osa:4345787%09red
Tropane, piperidine and pyridine alkaloid biosynthesis	KEGG PATHWAY	osa00960	1	16	0.253586602731	0.345044066011	4325621	http://www.genome.jp/kegg-bin/show_pathway?osa00960/osa:4325621%09red
Fructose and mannose metabolism	KEGG PATHWAY	osa00051	2	58	0.272834421025	0.365246079759	4339361|4345338	http://www.genome.jp/kegg-bin/show_pathway?osa00051/osa:4339361%09red/osa:4345338%09red
Flavonoid biosynthesis	KEGG PATHWAY	osa00941	1	18	0.278840540044	0.367361346407	4348304	http://www.genome.jp/kegg-bin/show_pathway?osa00941/osa:4348304%09red
Isoquinoline alkaloid biosynthesis	KEGG PATHWAY	osa00950	1	21	0.315131271439	0.399068023231	4325621	http://www.genome.jp/kegg-bin/show_pathway?osa00950/osa:4325621%09red
Butanoate metabolism	KEGG PATHWAY	osa00650	1	21	0.315131271439	0.399068023231	4345787	http://www.genome.jp/kegg-bin/show_pathway?osa00650/osa:4345787%09red
Aminoacyl-tRNA biosynthesis	KEGG PATHWAY	osa00970	3	113	0.317331199196	0.399068023231	4347497|4352148|4346920	http://www.genome.jp/kegg-bin/show_pathway?osa00970/osa:4346920%09red/osa:4347497%09red/osa:4352148%09red
Fatty acid elongation	KEGG PATHWAY	osa00062	1	24	0.34959896464	0.432541442432	4349396	http://www.genome.jp/kegg-bin/show_pathway?osa00062/osa:4349396%09red
Glycerophospholipid metabolism	KEGG PATHWAY	osa00564	2	71	0.354371302234	0.432541442432	9268113|4325586	http://www.genome.jp/kegg-bin/show_pathway?osa00564/osa:4325586%09red/osa:9268113%09red
Steroid biosynthesis	KEGG PATHWAY	osa00100	1	26	0.371609963162	0.447009086122	4350614	http://www.genome.jp/kegg-bin/show_pathway?osa00100/osa:4350614%09red
Diterpenoid biosynthesis	KEGG PATHWAY	osa00904	1	27	0.382335037276	0.453340115627	4325537	http://www.genome.jp/kegg-bin/show_pathway?osa00904/osa:4325537%09red
Arginine biosynthesis	KEGG PATHWAY	osa00220	1	28	0.392877393931	0.45927920699	4325621	http://www.genome.jp/kegg-bin/show_pathway?osa00220/osa:4325621%09red
Ubiquinone and other terpenoid-quinone biosynthesis	KEGG PATHWAY	osa00130	1	35	0.461812270972	0.5250742259	4331897	http://www.genome.jp/kegg-bin/show_pathway?osa00130/osa:4331897%09red
Phenylalanine metabolism	KEGG PATHWAY	osa00360	1	35	0.461812270972	0.5250742259	4325621	http://www.genome.jp/kegg-bin/show_pathway?osa00360/osa:4325621%09red
SNARE interactions in vesicular transport	KEGG PATHWAY	osa04130	1	37	0.480032004602	0.538414275432	4340278	http://www.genome.jp/kegg-bin/show_pathway?osa04130/osa:4340278%09red
Tyrosine metabolism	KEGG PATHWAY	osa00350	1	38	0.488909667354	0.541060031871	4325621	http://www.genome.jp/kegg-bin/show_pathway?osa00350/osa:4325621%09red
Ribosome	KEGG PATHWAY	osa03010	6	337	0.531754454684	0.580731838668	4342526|4350098|4334407|4338077|4341262|4328826	http://www.genome.jp/kegg-bin/show_pathway?osa03010/osa:4350098%09red/osa:4328826%09red/osa:4334407%09red/osa:4341262%09red/osa:4338077%09red/osa:4342526%09red
mRNA surveillance pathway	KEGG PATHWAY	osa03015	2	104	0.541882206303	0.584106793807	4333273|4326580	http://www.genome.jp/kegg-bin/show_pathway?osa03015/osa:4326580%09red/osa:4333273%09red
Terpenoid backbone biosynthesis	KEGG PATHWAY	osa00900	1	47	0.562300138524	0.593172705969	4326153	http://www.genome.jp/kegg-bin/show_pathway?osa00900/osa:4326153%09red
Ubiquitin mediated proteolysis	KEGG PATHWAY	osa04120	2	109	0.566857025671	0.593172705969	4352894|4344172	http://www.genome.jp/kegg-bin/show_pathway?osa04120/osa:4344172%09red/osa:4352894%09red
Pyrimidine metabolism	KEGG PATHWAY	osa00240	2	110	0.571732728645	0.593172705969	4330474|4347509	http://www.genome.jp/kegg-bin/show_pathway?osa00240/osa:4347509%09red/osa:4330474%09red
Protein export	KEGG PATHWAY	osa03060	1	54	0.612026496079	0.627138261415	4328075	http://www.genome.jp/kegg-bin/show_pathway?osa03060/osa:4328075%09red
Phenylpropanoid biosynthesis	KEGG PATHWAY	osa00940	2	125	0.640064246563	0.647869908106	4334116|4328841	http://www.genome.jp/kegg-bin/show_pathway?osa00940/osa:4328841%09red/osa:4334116%09red
Ribosome biogenesis in eukaryotes	KEGG PATHWAY	osa03008	1	86	0.776525777641	0.776525777641	4344710	http://www.genome.jp/kegg-bin/show_pathway?osa03008/osa:4344710%09red

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink

--------------------
