Gene stable ID	Gene name	Gene description	Oryza sativa Japonica Group gene stable ID	Oryza sativa Japonica Group gene name	OSJ DESCRIPTION	%id. target Oryza sativa Japonica Group gene identical to query gene	%id. query gene identical to target Oryza sativa Japonica Group gene	Arabidopsis thaliana gene stable ID	Arabidopsis thaliana gene name	AT DESCRIPTION	%id. target Arabidopsis thaliana gene identical to query gene	%id. query gene identical to target Arabidopsis thaliana gene
TraesCS6A02G149700			Os02g0179200		Glutamine amidotransferase class-I domain containing protein	60.0683	58.8629	AT2G23970	GGP5	Gamma-glutamyl peptidase 5 [Source:UniProtKB/Swiss-Prot;Acc:O82225]	39.5904	46.2151
TraesCS6A02G149700			Os02g0179200		Glutamine amidotransferase class-I domain containing protein	60.0683	58.8629	AT4G30540	GGP2	Gamma-glutamyl peptidase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9M0A6]	36.1775	42.7419
TraesCS6A02G149700			Os02g0179200		Glutamine amidotransferase class-I domain containing protein	60.0683	58.8629	AT4G30550	GGP3	GGP3 [Source:UniProtKB/TrEMBL;Acc:A0A178V361]	36.8601	43.3735
TraesCS6A02G149700			Os02g0179200		Glutamine amidotransferase class-I domain containing protein	60.0683	58.8629	AT2G23960	GGP4	Gamma-glutamyl peptidase 4 [Source:UniProtKB/Swiss-Prot;Acc:F4INN2]	36.8601	43.0279
TraesCS6A02G149700			Os02g0179200		Glutamine amidotransferase class-I domain containing protein	60.0683	58.8629	AT4G30530	GGP1	GGP1 [Source:UniProtKB/TrEMBL;Acc:A0A178V143]	34.8123	40.8
TraesCS6A02G418400			Os02g0834700		Similar to Cell division inhibitor	69.3989	70.7521	AT2G21280	GC1	NAD(P)-binding Rossmann-fold superfamily protein [Source:TAIR;Acc:AT2G21280]	59.0164	59.6685
TraesCS6B02G250000			Os02g0612900		Similar to Temperature stress-induced lipocalin	85.2632	83.0769	AT5G58070	TIL	TIL [Source:UniProtKB/TrEMBL;Acc:A0A178US04]	71.0526	72.5806
TraesCS6B02G408300			Os02g0827600		Protein of unknown function DUF3531 domain containing protein	77.9359	79.3478	AT5G08400		At5g08400/F8L15_130 [Source:UniProtKB/TrEMBL;Acc:Q8VZD1]	64.0569	54.0541
TraesCS7A02G030400												
TraesCS7A02G415900												
TraesCS7A02G422400			Os06g0699500		Tautomerase domain containing protein	83.4783	83.4783	AT5G57170		Tautomerase/MIF superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4KAK0]	56.5217	56.0345
TraesCS7A02G429300			Os06g0694400		Conserved hypothetical protein	65	64.1975					
TraesCS7B02G002500			Os02g0261400		Conserved hypothetical protein	14.5985	29.4118					
TraesCS7B02G002500			Os02g0263432		Conserved hypothetical protein	29.562	36.5964					
TraesCS7B02G190700												
TraesCSU02G039800			Os01g0109750		Paired amphipathic helix domain containing protein	54.7872	75.1825					
