Gene stable ID,Gene description,GO term accession,GO term name,GO term definition
TraesCS6B02G250000,,,,
TraesCS6B02G408300,,,,
TraesCS7A02G030400,,,,
TraesCS7A02G415900,,,,
TraesCS7A02G422400,,GO:0009507,chloroplast,"A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma."
TraesCS7A02G429300,,,,
TraesCS7B02G002500,,,,
TraesCS7B02G002500,,,,
TraesCS7B02G190700,,GO:0008168,methyltransferase activity,Catalysis of the transfer of a methyl group to an acceptor molecule.
TraesCS7B02G190700,,GO:0032259,methylation,The process in which a methyl group is covalently attached to a molecule.
TraesCSU02G039800,,GO:0016021,integral component of membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.
TraesCSU02G039800,,GO:0005634,nucleus,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
TraesCSU02G039800,,GO:0006355,"regulation of transcription, DNA-templated","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
TraesCSU02G039800,,GO:0016020,membrane,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.
TraesCSU02G039800,,GO:0006355,"regulation of transcription, DNA-templated","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
